Jurisdictions,EffectiveDate,ValidThroughDate,pmp2012,access_Prescribers,access_Dispensers,access_RegulatoryBoards,access_MedicalExaminer/Coroner,access_DrugCourts,access_None,prescriber-access_Currentpatients,prescriber-access_Prospectivepatients,prescriber-access_Formerpatients,prescriber-access_None,dispenser-access_Currentpatients,dispenser-access_Prospectivepatients,dispenser-access_Formerpatients,dispenser-access_None,delegate,patient-access,instate-yn,instate-le_TherearenorestrictionsonlawenforcementaccesstoPDMPdata,instate-le_Lawenforcementhasaccessforactiveinvestigations,instate-le_Lawenforcementmustbegrantedaccessbysubpoena,instate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,pdmp-outstate,outstate-le_NorestrictionsonlawenforcementaccesstoPDMPdata,outstate-le_Lawenforcementhasaccessforactiveinvestigations,outstate-le_Lawenforcementmustbegrantedaccessbysubpoena,outstate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,table_type,Jurisdictions:1,EffectiveDate:1,ValidThroughDate:1,pmp2012:1,agency_Lawenforcement,agency_DepartmentofHealth/HHS,agency_Consumerprotectionagency,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard),agency_AttorneyGeneral,agency_Other,pmp-funding_Appropriationprovisions,pmp-funding_Chargingfees,pmp-funding_Grants,pmp-funding_Gifts,pmp-funding_Nofundingprovisionsincludedinthelaw,oversight,evaluation,purge-time,proactive-permit,proactive-actionrequire_Mustreporttolawenforcement,proactive-actionrequire_Mustreporttoprofessionallicensingbody,proactive-actionrequire_Mustreporttoprescriberordispenser,proactive-actionrequire_Permittedtoreporttolawenforcement,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody,proactive-actionrequire_Permittedtoreporttoprescriberordispenser,proactive-actionrequire_Other,foia,research,pdmp-research,table_type:1,Jurisdictions:2,EffectiveDate:2,ValidThroughDate:2,pmp2012:2,agency_Lawenforcement:1,agency_DepartmentofHealth/HHS:1,agency_Consumerprotectionagency:1,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard):1,agency_AttorneyGeneral:1,agency_Other:1,pmp-funding_Appropriationprovisions:1,pmp-funding_Chargingfees:1,pmp-funding_Grants:1,pmp-funding_Gifts:1,pmp-funding_Nofundingprovisionsincludedinthelaw:1,oversight:1,evaluation:1,purge-time:1,proactive-permit:1,proactive-actionrequire_Mustreporttolawenforcement:1,proactive-actionrequire_Mustreporttoprofessionallicensingbody:1,proactive-actionrequire_Mustreporttoprescriberordispenser:1,proactive-actionrequire_Permittedtoreporttolawenforcement:1,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody:1,proactive-actionrequire_Permittedtoreporttoprescriberordispenser:1,proactive-actionrequire_Other:1,foia:1,research:1,pdmp-research:1,table_type:2
"Illinois","2000-04-01","2000-06-01","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0",".",".",".",".","access","Illinois","2000-04-01","2000-06-01","1","0","1","0","0","0","0","0","1","0","0","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin","Illinois","2000-04-01","2000-06-01","1","0","1","0","0","0","0","0","1","0","0","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin"
"Illinois","2008-01-01","2009-12-08","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0",".",".",".",".","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois","2012-01-01","2012-07-12","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0",".",".",".",".","access","Illinois","2012-01-01","2012-07-12","1","0","1","0","0","0","0","0","1","0","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2012-01-01","2012-07-12","1","0","1","0","0","0","0","0","1","0","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin"
"Illinois","2015-09-09","2016-02-28","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0",".",".",".",".","access","Illinois","2015-09-09","2016-02-28","1","0","1","0","0","0","0","0","1","1","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2015-09-09","2016-02-28","1","0","1","0","0","0","0","0","1","1","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin"
"Indiana","1998-01-01","1999-06-30","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0","1","0","0","access","Indiana","1998-01-01","1999-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","1","1","admin","Indiana","1998-01-01","1999-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","1","1","admin"
"Indiana","2007-07-01","2008-03-12","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access","Indiana","2007-07-01","2008-03-12","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","1","1","1","0","0","0","0","0","1","1","1","admin","Indiana","2007-07-01","2008-03-12","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","1","1","1","0","0","0","0","0","1","1","1","admin"
"Indiana","2014-03-25","2014-06-30","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana","2016-07-01","2016-07-01","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa","2014-07-01","2016-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","access","Iowa","2014-07-01","2016-06-30","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin","Iowa","2014-07-01","2016-06-30","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin"
"Iowa","2006-05-31","2007-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","access","Iowa","2006-05-31","2007-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0",".","admin","Iowa","2006-05-31","2007-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0",".","admin"
